subjName	sessionNR	IOD	trialN	textureType	texnum	visualAngle	simulatedDepth	light_intensity	time	displayDistance	isRotated	frameN	timTote	startTime	touchTime	endTime	fingersOccluded	distanceToHome	distanceToObject	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	targetX	targetY	targetZ	failCause	gripAperture	gripApertureVel	distFromObjVel	gripOriginX	gripOriginY	gripOriginZ	distFromObjX	distFromObjY	distFromObjZ	y_dist_thm	z_dist_thm	z_dist_ind	handOnObj	handnearObj	handfarObj	handTouchObj	framesOccluded
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1356.563437	-420.000000	0.000000	40.000000	1403.841177	0.000000	0.000000	0.000000	0	3.030207	437.885364	227.123201	-357.303427	-249.468380	228.797313	-359.199699	-240.987091	46.703354	0.000000	-420.000000	0	8.850467	0.023043	0.011510	227.960257	-358.251563	-245.227735	181.256903	358.251563	174.772265	359.199699	179.012909	187.531620	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1404.057608	-420.000000	0.000000	41.000000	1450.659964	0.000000	0.000000	0.000000	0	3.087931	437.910724	227.181324	-357.281416	-249.427958	228.809649	-359.203377	-240.935944	46.703354	0.000000	-420.000000	0	8.857747	0.007280	0.025360	227.995486	-358.242397	-245.181951	181.292132	358.242397	174.818049	359.203377	179.064056	187.572042	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1450.870835	-420.000000	0.000000	42.000000	1497.763191	0.000000	0.000000	0.000000	0	3.021636	437.884621	227.136561	-357.298699	-249.450998	228.712411	-359.226566	-240.979388	46.703354	0.000000	-420.000000	0	8.829958	0.027789	0.026103	227.924486	-358.262633	-245.215193	181.221132	358.262633	174.784807	359.226566	179.020612	187.549002	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1497.975773	-420.000000	0.000000	43.000000	1544.816802	0.000000	0.000000	0.000000	0	3.013567	437.880961	227.172252	-357.319395	-249.454256	228.728151	-359.196011	-241.027593	46.703354	0.000000	-420.000000	0	8.772181	0.057777	0.003660	227.950201	-358.257703	-245.240924	181.246847	358.257703	174.759076	359.196011	178.972407	187.545744	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1545.037937	-420.000000	0.000000	44.000000	1591.949542	0.000000	0.000000	0.000000	0	2.927668	437.834718	227.052488	-357.317368	-249.470909	228.604291	-359.233310	-241.062393	46.703354	0.000000	-420.000000	0	8.762537	0.009644	0.046242	227.828390	-358.275339	-245.266651	181.125036	358.275339	174.733349	359.233310	178.937607	187.529091	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1592.170250	-420.000000	0.000000	45.000000	1638.964656	0.000000	0.000000	0.000000	0	2.901651	437.817963	227.121395	-357.294950	-249.455897	228.512928	-359.249191	-241.124692	46.703354	0.000000	-420.000000	0	8.669740	0.092797	0.016755	227.817162	-358.272071	-245.290295	181.113808	358.272071	174.709705	359.249191	178.875308	187.544103	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1639.176382	-420.000000	0.000000	46.000000	1686.373282	0.000000	0.000000	0.000000	0	2.892530	437.758026	227.028402	-357.215004	-249.456361	228.597274	-359.196780	-241.144249	46.703354	0.000000	-420.000000	0	8.687923	0.018183	0.059937	227.812838	-358.205892	-245.300305	181.109484	358.205892	174.699695	359.196780	178.855751	187.543639	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1686.585008	-420.000000	0.000000	47.000000	1733.100535	0.000000	0.000000	0.000000	0	2.745008	437.563810	226.758764	-357.069511	-249.583753	228.739860	-359.072320	-241.304985	46.703354	0.000000	-420.000000	0	8.744940	0.057017	0.194216	227.749312	-358.070915	-245.444369	181.045958	358.070915	174.555631	359.072320	178.695015	187.416247	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1733.312688	-420.000000	0.000000	48.000000	1780.264071	0.000000	0.000000	0.000000	0	2.360585	437.292381	226.949242	-356.952215	-249.754157	228.259567	-359.038501	-241.885342	46.703354	0.000000	-420.000000	0	8.245471	0.499469	0.271429	227.604405	-357.995358	-245.819749	180.901051	357.995358	174.180251	359.038501	178.114658	187.245843	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1780.495900	-420.000000	0.000000	49.000000	1827.508876	0.000000	0.000000	0.000000	0	2.211471	437.046640	226.524320	-356.819006	-249.935674	228.529306	-358.814383	-242.042169	46.703354	0.000000	-420.000000	0	8.385041	0.139571	0.245741	227.526813	-357.816694	-245.988922	180.823459	357.816694	174.011078	358.814383	177.957831	187.064326	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1827.806148	-420.000000	0.000000	50.000000	1874.774640	0.000000	0.000000	0.000000	0	2.195060	436.919361	226.524209	-356.664397	-250.010976	228.737697	-358.690505	-242.250199	46.703354	0.000000	-420.000000	0	8.320716	0.064326	0.127279	227.630953	-357.677451	-246.130587	180.927599	357.677451	173.869413	358.690505	177.749801	186.989024	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1874.989788	-420.000000	0.000000	51.000000	1921.756820	0.000000	0.000000	0.000000	0	2.112831	436.526900	226.667292	-356.349971	-250.269219	228.599867	-358.334015	-242.589959	46.703354	0.000000	-420.000000	0	8.163474	0.157241	0.392461	227.633580	-357.341993	-246.429589	180.930226	357.341993	173.570411	358.334015	177.410041	186.730781	0	0	1	0	0
